src,dest,type,value
Алатырь,Стерлитамак,cargo1,0
Алатырь,Стерлитамак,cargo2,0
Алатырь,Стерлитамак,cargo3,0
Алатырь,Сызрань,cargo1,6214
Алатырь,Сызрань,cargo2,829
Алатырь,Сызрань,cargo3,2397
Алатырь,Тольятти,cargo1,7663
Алатырь,Тольятти,cargo2,1284
Алатырь,Тольятти,cargo3,9009
Алатырь,Туймазы,cargo1,5024
Алатырь,Туймазы,cargo2,4669
Алатырь,Туймазы,cargo3,6360
Алатырь,Уфа,cargo1,0
Алатырь,Уфа,cargo2,0
Алатырь,Уфа,cargo3,0
Алатырь,Ульяновск,cargo1,9513
Алатырь,Ульяновск,cargo2,7716
Алатырь,Ульяновск,cargo3,7879
Алатырь,Вольск,cargo1,9148
Алатырь,Вольск,cargo2,688
Алатырь,Вольск,cargo3,7742
Алатырь,Воткинск,cargo1,39
Алатырь,Воткинск,cargo2,34
Алатырь,Воткинск,cargo3,78
Алатырь,Выкса,cargo1,2
Алатырь,Выкса,cargo2,5
Алатырь,Выкса,cargo3,7
Алатырь,Йошкар-Ола,cargo1,6
Алатырь,Йошкар-Ола,cargo2,5
Алатырь,Йошкар-Ола,cargo3,0
Алатырь,Зеленодольск,cargo1,7
Алатырь,Зеленодольск,cargo2,9
Алатырь,Зеленодольск,cargo3,1
Альметьевск,Алатырь,cargo1,10
Альметьевск,Алатырь,cargo2,538
Альметьевск,Алатырь,cargo3,68
Альметьевск,Арзамас,cargo1,0
Альметьевск,Арзамас,cargo2,0
Альметьевск,Арзамас,cargo3,0
Альметьевск,Аткарск,cargo1,0
Альметьевск,Аткарск,cargo2,0
Альметьевск,Аткарск,cargo3,0
Альметьевск,Балахна,cargo1,6
Альметьевск,Балахна,cargo2,2
Альметьевск,Балахна,cargo3,9
Альметьевск,Балаково,cargo1,8857
Альметьевск,Балаково,cargo2,8714
Альметьевск,Балаково,cargo3,1438
Альметьевск,Балашов,cargo1,4920
Альметьевск,Балашов,cargo2,4367
Альметьевск,Балашов,cargo3,9002
Альметьевск,Белебей,cargo1,2673
Альметьевск,Белебей,cargo2,9145
Альметьевск,Белебей,cargo3,6019
Альметьевск,Березники,cargo1,0
Альметьевск,Березники,cargo2,0
Альметьевск,Березники,cargo3,0
Альметьевск,Бирск,cargo1,0
Альметьевск,Бирск,cargo2,0
Альметьевск,Бирск,cargo3,0
Альметьевск,Бугульма,cargo1,36
Альметьевск,Бугульма,cargo2,72
Альметьевск,Бугульма,cargo3,46
Альметьевск,Бугуруслан,cargo1,74
Альметьевск,Бугуруслан,cargo2,27
Альметьевск,Бугуруслан,cargo3,13
Альметьевск,Бузулук,cargo1,0
Альметьевск,Бузулук,cargo2,0
Альметьевск,Бузулук,cargo3,0
Альметьевск,Чапаевск,cargo1,0
Альметьевск,Чапаевск,cargo2,0
Альметьевск,Чапаевск,cargo3,0
Альметьевск,Чебоксары,cargo1,0
Альметьевск,Чебоксары,cargo2,0
Альметьевск,Чебоксары,cargo3,0
Альметьевск,Чистополь,cargo1,0
Альметьевск,Чистополь,cargo2,0
Альметьевск,Чистополь,cargo3,0
Альметьевск,Чусовой,cargo1,80287
Альметьевск,Чусовой,cargo2,31843
Альметьевск,Чусовой,cargo3,96445
Альметьевск,Димитровград,cargo1,38203
Альметьевск,Димитровград,cargo2,33771
Альметьевск,Димитровград,cargo3,40522
Альметьевск,Домбаровский,cargo1,0
Альметьевск,Домбаровский,cargo2,0
Альметьевск,Домбаровский,cargo3,0
Альметьевск,Дзержинск,cargo1,0
Альметьевск,Дзержинск,cargo2,0
Альметьевск,Дзержинск,cargo3,0
Альметьевск,Энгельс,cargo1,3
Альметьевск,Энгельс,cargo2,6
Альметьевск,Энгельс,cargo3,10
Альметьевск,Гай,cargo1,0
Альметьевск,Гай,cargo2,7
Альметьевск,Гай,cargo3,3
Альметьевск,Глазов,cargo1,2543
Альметьевск,Глазов,cargo2,1429
Альметьевск,Глазов,cargo3,6827
Альметьевск,Губаха,cargo1,6380
Альметьевск,Губаха,cargo2,6145
Альметьевск,Губаха,cargo3,4093
Альметьевск,Ижевск,cargo1,5254
Альметьевск,Ижевск,cargo2,3072
Альметьевск,Ижевск,cargo3,631
Альметьевск,Каменка,cargo1,7875
Альметьевск,Каменка,cargo2,8223
Альметьевск,Каменка,cargo3,8457
Альметьевск,Канаш,cargo1,6034
Альметьевск,Канаш,cargo2,1652
Альметьевск,Канаш,cargo3,2635
Альметьевск,Казань,cargo1,2405
Альметьевск,Казань,cargo2,1935
Альметьевск,Казань,cargo3,5643
Альметьевск,Киров,cargo1,6504
Альметьевск,Киров,cargo2,5150
Альметьевск,Киров,cargo3,1627
Альметьевск,Кирово-Чепецк,cargo1,4922
Альметьевск,Кирово-Чепецк,cargo2,5350
Альметьевск,Кирово-Чепецк,cargo3,7859
Альметьевск,Кирс,cargo1,8495
Альметьевск,Кирс,cargo2,548
Альметьевск,Кирс,cargo3,3279
Альметьевск,Кизел,cargo1,3995
Альметьевск,Кизел,cargo2,6237
Альметьевск,Кизел,cargo3,583
Альметьевск,Котельнич,cargo1,2928
Альметьевск,Котельнич,cargo2,1768
Альметьевск,Котельнич,cargo3,9848
Альметьевск,Красноармейск,cargo1,3350
Альметьевск,Красноармейск,cargo2,3058
Альметьевск,Красноармейск,cargo3,6332
Альметьевск,Краснокамск,cargo1,9295
Альметьевск,Краснокамск,cargo2,5450
Альметьевск,Краснокамск,cargo3,5034
Альметьевск,Кудымкар,cargo1,4424
Альметьевск,Кудымкар,cargo2,5900
Альметьевск,Кудымкар,cargo3,3256
Альметьевск,Кумертау,cargo1,5997
Альметьевск,Кумертау,cargo2,9087
Альметьевск,Кумертау,cargo3,3908
Альметьевск,Кунгур,cargo1,1438
Альметьевск,Кунгур,cargo2,205
Альметьевск,Кунгур,cargo3,1378
Альметьевск,Кузнецк,cargo1,124
Альметьевск,Кузнецк,cargo2,7569
Альметьевск,Кузнецк,cargo3,9837
Альметьевск,Лениногорск,cargo1,5457
Альметьевск,Лениногорск,cargo2,9129
Альметьевск,Лениногорск,cargo3,7277
Альметьевск,Медногорск,cargo1,92
Альметьевск,Медногорск,cargo2,1468
Альметьевск,Медногорск,cargo3,4197
Альметьевск,Можга,cargo1,3954
Альметьевск,Можга,cargo2,2938
Альметьевск,Можга,cargo3,8615
Альметьевск,Набережные Челны,cargo1,2329
Альметьевск,Набережные Челны,cargo2,2123
Альметьевск,Набережные Челны,cargo3,6139
Альметьевск,Нефтекамск,cargo1,2940
Альметьевск,Нефтекамск,cargo2,8926
Альметьевск,Нефтекамск,cargo3,4592
Альметьевск,Нижнекамск,cargo1,1702
Альметьевск,Нижнекамск,cargo2,962
Альметьевск,Нижнекамск,cargo3,2483
Альметьевск,Нижний Новгород,cargo1,1008
Альметьевск,Нижний Новгород,cargo2,5265
Альметьевск,Нижний Новгород,cargo3,4872
Альметьевск,Новокуйбышевск,cargo1,9825
Альметьевск,Новокуйбышевск,cargo2,9411
Альметьевск,Новокуйбышевск,cargo3,5850
Альметьевск,Новотроицк,cargo1,1824
Альметьевск,Новотроицк,cargo2,8826
Альметьевск,Новотроицк,cargo3,7662
Альметьевск,Октябрьский,cargo1,5967
Альметьевск,Октябрьский,cargo2,1573
Альметьевск,Октябрьский,cargo3,7141
Альметьевск,Омутнинск,cargo1,6567
Альметьевск,Омутнинск,cargo2,1264
Альметьевск,Омутнинск,cargo3,1534
Альметьевск,Оренбург,cargo1,6341
Альметьевск,Оренбург,cargo2,2546
Альметьевск,Оренбург,cargo3,884
Альметьевск,Орск,cargo1,7801
Альметьевск,Орск,cargo2,1405
Альметьевск,Орск,cargo3,8418
Альметьевск,Отрадный,cargo1,5442
Альметьевск,Отрадный,cargo2,5634
Альметьевск,Отрадный,cargo3,6248
Альметьевск,Пенза,cargo1,2178
Альметьевск,Пенза,cargo2,5573
Альметьевск,Пенза,cargo3,2025
Альметьевск,Пермь,cargo1,6023
Альметьевск,Пермь,cargo2,5372
Альметьевск,Пермь,cargo3,689
Альметьевск,Пугачев,cargo1,6608
Альметьевск,Пугачев,cargo2,1507
Альметьевск,Пугачев,cargo3,4852
Альметьевск,Раевский,cargo1,2168
Альметьевск,Раевский,cargo2,7126
Альметьевск,Раевский,cargo3,4959
Альметьевск,Рузаевка,cargo1,8861
Альметьевск,Рузаевка,cargo2,8437
Альметьевск,Рузаевка,cargo3,2608
Альметьевск,Салават,cargo1,8966
Альметьевск,Салават,cargo2,551
Альметьевск,Салават,cargo3,8059
Альметьевск,Самара,cargo1,7242
Альметьевск,Самара,cargo2,3732
Альметьевск,Самара,cargo3,6411
Альметьевск,Саранск,cargo1,3602
Альметьевск,Саранск,cargo2,6769
Альметьевск,Саранск,cargo3,4752
Альметьевск,Сарапул,cargo1,6819
Альметьевск,Сарапул,cargo2,742
Альметьевск,Сарапул,cargo3,1266
Альметьевск,Саратов,cargo1,2092
Альметьевск,Саратов,cargo2,6269
Альметьевск,Саратов,cargo3,3495
Альметьевск,Сердобск,cargo1,9856
Альметьевск,Сердобск,cargo2,9871
Альметьевск,Сердобск,cargo3,8230
Альметьевск,Шумерля,cargo1,7294
Альметьевск,Шумерля,cargo2,6839
Альметьевск,Шумерля,cargo3,4986
Альметьевск,Сибай,cargo1,7828
Альметьевск,Сибай,cargo2,7341
Альметьевск,Сибай,cargo3,8394
Альметьевск,Слободской,cargo1,5734
Альметьевск,Слободской,cargo2,6517
Альметьевск,Слободской,cargo3,884
Альметьевск,Соликамск,cargo1,3950
Альметьевск,Соликамск,cargo2,6424
Альметьевск,Соликамск,cargo3,1172
Альметьевск,Соль-Илецк,cargo1,3
Альметьевск,Соль-Илецк,cargo2,9
Альметьевск,Соль-Илецк,cargo3,4
Альметьевск,Советск,cargo1,3029
Альметьевск,Советск,cargo2,4225
Альметьевск,Советск,cargo3,2598
Альметьевск,Стерлитамак,cargo1,0
Альметьевск,Стерлитамак,cargo2,0
Альметьевск,Стерлитамак,cargo3,0
Альметьевск,Сызрань,cargo1,7950
Альметьевск,Сызрань,cargo2,2335
Альметьевск,Сызрань,cargo3,215
Альметьевск,Тольятти,cargo1,5384
Альметьевск,Тольятти,cargo2,6901
Альметьевск,Тольятти,cargo3,7928
Альметьевск,Туймазы,cargo1,635
Альметьевск,Туймазы,cargo2,1187
Альметьевск,Туймазы,cargo3,4230
Альметьевск,Уфа,cargo1,0
Альметьевск,Уфа,cargo2,0
Альметьевск,Уфа,cargo3,0
Альметьевск,Ульяновск,cargo1,4490
Альметьевск,Ульяновск,cargo2,3000
Альметьевск,Ульяновск,cargo3,5021
Альметьевск,Вольск,cargo1,9722
Альметьевск,Вольск,cargo2,6078
Альметьевск,Вольск,cargo3,1925
Альметьевск,Воткинск,cargo1,22
Альметьевск,Воткинск,cargo2,100
Альметьевск,Воткинск,cargo3,21
Альметьевск,Выкса,cargo1,2
Альметьевск,Выкса,cargo2,5
Альметьевск,Выкса,cargo3,2
Альметьевск,Йошкар-Ола,cargo1,3
Альметьевск,Йошкар-Ола,cargo2,8
Альметьевск,Йошкар-Ола,cargo3,5
Альметьевск,Зеленодольск,cargo1,6
Альметьевск,Зеленодольск,cargo2,9
Альметьевск,Зеленодольск,cargo3,6
Арзамас,Алатырь,cargo1,540
Арзамас,Алатырь,cargo2,57
Арзамас,Алатырь,cargo3,730
Арзамас,Альметьевск,cargo1,0
Арзамас,Альметьевск,cargo2,0
Арзамас,Альметьевск,cargo3,0
Арзамас,Аткарск,cargo1,0
Арзамас,Аткарск,cargo2,0
Арзамас,Аткарск,cargo3,0
Арзамас,Балахна,cargo1,9
Арзамас,Балахна,cargo2,3
Арзамас,Балахна,cargo3,1
Арзамас,Балаково,cargo1,3018
Арзамас,Балаково,cargo2,1222
Арзамас,Балаково,cargo3,5214
Арзамас,Балашов,cargo1,3340
Арзамас,Балашов,cargo2,3348
Арзамас,Балашов,cargo3,1728
Арзамас,Белебей,cargo1,8814
Арзамас,Белебей,cargo2,8550
Арзамас,Белебей,cargo3,1622
Арзамас,Березники,cargo1,0
Арзамас,Березники,cargo2,0
Арзамас,Березники,cargo3,0
Арзамас,Бирск,cargo1,0
Арзамас,Бирск,cargo2,0
Арзамас,Бирск,cargo3,0
Арзамас,Бугульма,cargo1,66
Арзамас,Бугульма,cargo2,43
Арзамас,Бугульма,cargo3,9
Арзамас,Бугуруслан,cargo1,19
Арзамас,Бугуруслан,cargo2,20
Арзамас,Бугуруслан,cargo3,50
Арзамас,Бузулук,cargo1,0
Арзамас,Бузулук,cargo2,0
Арзамас,Бузулук,cargo3,0
Арзамас,Чапаевск,cargo1,0
Арзамас,Чапаевск,cargo2,0
Арзамас,Чапаевск,cargo3,0
Арзамас,Чебоксары,cargo1,0
Арзамас,Чебоксары,cargo2,0
Арзамас,Чебоксары,cargo3,0
Арзамас,Чистополь,cargo1,0
Арзамас,Чистополь,cargo2,0
Арзамас,Чистополь,cargo3,0
Арзамас,Чусовой,cargo1,30921
Арзамас,Чусовой,cargo2,63241
Арзамас,Чусовой,cargo3,33516
Арзамас,Димитровград,cargo1,5035
Арзамас,Димитровград,cargo2,55560
Арзамас,Димитровград,cargo3,72159
Арзамас,Домбаровский,cargo1,0
Арзамас,Домбаровский,cargo2,0
Арзамас,Домбаровский,cargo3,0
Арзамас,Дзержинск,cargo1,0
Арзамас,Дзержинск,cargo2,0
Арзамас,Дзержинск,cargo3,0
Арзамас,Энгельс,cargo1,10
Арзамас,Энгельс,cargo2,10
Арзамас,Энгельс,cargo3,10
Арзамас,Гай,cargo1,6
Арзамас,Гай,cargo2,8
Арзамас,Гай,cargo3,9
Арзамас,Глазов,cargo1,1907
Арзамас,Глазов,cargo2,2456
Арзамас,Глазов,cargo3,9390
Арзамас,Губаха,cargo1,3015
Арзамас,Губаха,cargo2,7508
Арзамас,Губаха,cargo3,993
Арзамас,Ижевск,cargo1,9823
Арзамас,Ижевск,cargo2,3268
Арзамас,Ижевск,cargo3,4394
Арзамас,Каменка,cargo1,7359
Арзамас,Каменка,cargo2,3930
Арзамас,Каменка,cargo3,8118
Арзамас,Канаш,cargo1,4548
Арзамас,Канаш,cargo2,6935
Арзамас,Канаш,cargo3,5846
Арзамас,Казань,cargo1,2486
Арзамас,Казань,cargo2,1937
Арзамас,Казань,cargo3,4142
Арзамас,Киров,cargo1,4342
Арзамас,Киров,cargo2,5407
Арзамас,Киров,cargo3,5657
Арзамас,Кирово-Чепецк,cargo1,8228
Арзамас,Кирово-Чепецк,cargo2,5450
Арзамас,Кирово-Чепецк,cargo3,7090
Арзамас,Кирс,cargo1,6943
Арзамас,Кирс,cargo2,1368
Арзамас,Кирс,cargo3,2779
Арзамас,Кизел,cargo1,4138
Арзамас,Кизел,cargo2,2575
Арзамас,Кизел,cargo3,7849
Арзамас,Котельнич,cargo1,2393
Арзамас,Котельнич,cargo2,3413
Арзамас,Котельнич,cargo3,9478
Арзамас,Красноармейск,cargo1,9819
Арзамас,Красноармейск,cargo2,6820
Арзамас,Красноармейск,cargo3,9993
Арзамас,Краснокамск,cargo1,1842
Арзамас,Краснокамск,cargo2,8628
Арзамас,Краснокамск,cargo3,1415
Арзамас,Кудымкар,cargo1,2119
Арзамас,Кудымкар,cargo2,2692
Арзамас,Кудымкар,cargo3,8070
Арзамас,Кумертау,cargo1,9947
Арзамас,Кумертау,cargo2,7373
Арзамас,Кумертау,cargo3,6282
Арзамас,Кунгур,cargo1,850
Арзамас,Кунгур,cargo2,4538
Арзамас,Кунгур,cargo3,7612
Арзамас,Кузнецк,cargo1,8285
Арзамас,Кузнецк,cargo2,4111
Арзамас,Кузнецк,cargo3,3142
Арзамас,Лениногорск,cargo1,6489
Арзамас,Лениногорск,cargo2,6731
Арзамас,Лениногорск,cargo3,585
Арзамас,Медногорск,cargo1,8035
Арзамас,Медногорск,cargo2,8646
Арзамас,Медногорск,cargo3,7192
Арзамас,Можга,cargo1,5438
Арзамас,Можга,cargo2,8273
Арзамас,Можга,cargo3,1307
Арзамас,Набережные Челны,cargo1,3440
Арзамас,Набережные Челны,cargo2,6387
Арзамас,Набережные Челны,cargo3,7116
Арзамас,Нефтекамск,cargo1,2485
Арзамас,Нефтекамск,cargo2,5270
Арзамас,Нефтекамск,cargo3,3421
Арзамас,Нижнекамск,cargo1,1596
Арзамас,Нижнекамск,cargo2,1923
Арзамас,Нижнекамск,cargo3,8482
Арзамас,Нижний Новгород,cargo1,9742
Арзамас,Нижний Новгород,cargo2,2882
Арзамас,Нижний Новгород,cargo3,6176
Арзамас,Новокуйбышевск,cargo1,2884
Арзамас,Новокуйбышевск,cargo2,3415
Арзамас,Новокуйбышевск,cargo3,9578
Арзамас,Новотроицк,cargo1,4852
Арзамас,Новотроицк,cargo2,1177
Арзамас,Новотроицк,cargo3,6841
Арзамас,Октябрьский,cargo1,7029
Арзамас,Октябрьский,cargo2,3434
Арзамас,Октябрьский,cargo3,5599
Арзамас,Омутнинск,cargo1,7549
Арзамас,Омутнинск,cargo2,7791
Арзамас,Омутнинск,cargo3,2693
Арзамас,Оренбург,cargo1,1451
Арзамас,Оренбург,cargo2,2767
Арзамас,Оренбург,cargo3,6907
Арзамас,Орск,cargo1,4753
Арзамас,Орск,cargo2,7061
Арзамас,Орск,cargo3,1879
Арзамас,Отрадный,cargo1,2437
Арзамас,Отрадный,cargo2,8608
Арзамас,Отрадный,cargo3,44
Арзамас,Пенза,cargo1,6407
Арзамас,Пенза,cargo2,3767
Арзамас,Пенза,cargo3,4817
Арзамас,Пермь,cargo1,7075
Арзамас,Пермь,cargo2,5020
Арзамас,Пермь,cargo3,6613
Арзамас,Пугачев,cargo1,6507
Арзамас,Пугачев,cargo2,6408
Арзамас,Пугачев,cargo3,9130
Арзамас,Раевский,cargo1,6791
Арзамас,Раевский,cargo2,3737
Арзамас,Раевский,cargo3,6813
Арзамас,Рузаевка,cargo1,9101
Арзамас,Рузаевка,cargo2,6229
Арзамас,Рузаевка,cargo3,9199
Арзамас,Салават,cargo1,6080
Арзамас,Салават,cargo2,4497
Арзамас,Салават,cargo3,6837
Арзамас,Самара,cargo1,9543
Арзамас,Самара,cargo2,7878
Арзамас,Самара,cargo3,5768
Арзамас,Саранск,cargo1,6919
Арзамас,Саранск,cargo2,4773
Арзамас,Саранск,cargo3,3390
Арзамас,Сарапул,cargo1,732
Арзамас,Сарапул,cargo2,6363
Арзамас,Сарапул,cargo3,8975
Арзамас,Саратов,cargo1,9328
Арзамас,Саратов,cargo2,3935
Арзамас,Саратов,cargo3,7802
Арзамас,Сердобск,cargo1,6989
Арзамас,Сердобск,cargo2,1896
Арзамас,Сердобск,cargo3,8966
Арзамас,Шумерля,cargo1,6114
Арзамас,Шумерля,cargo2,6527
Арзамас,Шумерля,cargo3,5910
Арзамас,Сибай,cargo1,4604
Арзамас,Сибай,cargo2,8350
Арзамас,Сибай,cargo3,2168
Арзамас,Слободской,cargo1,6940
Арзамас,Слободской,cargo2,7442
Арзамас,Слободской,cargo3,5300
Арзамас,Соликамск,cargo1,7272
Арзамас,Соликамск,cargo2,7145
Арзамас,Соликамск,cargo3,7291
Арзамас,Соль-Илецк,cargo1,5
Арзамас,Соль-Илецк,cargo2,6
Арзамас,Соль-Илецк,cargo3,8
Арзамас,Советск,cargo1,1034
Арзамас,Советск,cargo2,8779
Арзамас,Советск,cargo3,9043
Арзамас,Стерлитамак,cargo1,0
Арзамас,Стерлитамак,cargo2,0
Арзамас,Стерлитамак,cargo3,0
Арзамас,Сызрань,cargo1,6009
Арзамас,Сызрань,cargo2,9110
Арзамас,Сызрань,cargo3,8726
Арзамас,Тольятти,cargo1,3782
Арзамас,Тольятти,cargo2,4514
